ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1000886;Поступление зарплаты на счет;Ремонт;0;0.21;женский;0;0;высшее;специалист;>250;0;20;29;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0571428571;0;0;0;0;0.3333333333;1;2;33;3;0;1;9;44;1;0;0;0;0;0;0
1000906;Поступление зарплаты на счет;Ремонт;1;0.45;мужской;0;0;среднее-специальное;специалист;< 50;0;92;48;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000926;Форма банка (без печати работодателя);Ремонт;1;0.28;женский;0;0;высшее;менеджер среднего звена;>250;0;140;49;Торговля;ЗАО;холост / не замужем;2;1;1;1;1;0;1;1;0;0;0.1538461538;2;11;121;13;1;1;3;93;0;0;0;0;0;0;0
1000946;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.3;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;77;57;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000966;Форма банка (без печати работодателя);Ремонт;0;0.26;женский;0;0;высшее;специалист;>250;0;16;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1000986;Поступление зарплаты на счет;Покупка бытовой техники;1;0.37;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;22;30;Торговля;ЗАО;холост / не замужем;4;3;1;1;1;0.0543478261;1;0;0;0;0.4;2;3;87;5;1;0;32;97;1;0;0;0;0;0;0
1001006;Поступление зарплаты на счет;Покупка автомобиля;0;0.34;мужской;0;0;высшее;вспомогательный персонал;< 50;1;32;47;Другое;ООО;повторный брак;1;0;0;0;0;0.08;1;1;0;0;0.25;1;3;23;4;1;0;5;89;1;0;0;0;0;0;0
1001026;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;0;0.45;мужской;1;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001046;Поступление зарплаты на счет;Лечение;0;0.42;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;17;27;Другое;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1001066;Поступление зарплаты на счет;Покупка земли;1;0.56;женский;1;0;высшее;менеджер среднего звена;>250;0;31;32;Торговля;ООО;женат / замужем;1;0;0;0;0;0.1475409836;0;0;0;0;0.3333333333;2;4;52;6;1;1;9;27;1;0;0;0;0;0;0
1001086;Свободная форма с печатью работодателя;Ремонт;0;0.29;мужской;1;0;высшее;вспомогательный персонал;< 50;3;18;29;Торговля;Индивидуальный предприниматель;разведен / разведена;1;1;1;1;1;0.0337078652;0;0;0;0;0;0;4;86;4;0;0;16;89;1;1;0;0;0;0;0
1001106;Форма банка (без печати работодателя);Ремонт;1;0.53;женский;1;0;среднее;вспомогательный персонал;>250;0;60;27;Торговля;ЗАО;женат / замужем;3;1;1;1;1;0.2093023256;0;1;1;0;0.1428571429;1;6;68;7;1;2;2;64;1;0;0;0;0;0;0
1001126;2НДФЛ;Ремонт;0;0.36;мужской;0;0;среднее-специальное;специалист;>250;1;44;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001146;Поступление зарплаты на счет;Другое;0;0.31;мужской;0;0;высшее;менеджер среднего звена;>250;0;148;37;Информационные технологии;ООО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1001166;Форма банка (без печати работодателя);Отпуск;1;0.4;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001186;Форма банка (без печати работодателя);Ремонт;0;0.39;женский;0;0;высшее;менеджер среднего звена;< 50;0;151;38;Другое;ООО;женат / замужем;1;0;0;0;0;0.0254237288;1;0;0;0;0.4285714286;3;4;115;7;0;2;9;82;1;0;0;0;0;0;0
1001206;Свободная форма с печатью работодателя;Покупка автомобиля;0;0.52;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001226;2НДФЛ;Покупка недвижимости/ строительство;1;0.13;мужской;2;0;высшее;рабочий;>250;3;45;39;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001246;Поступление зарплаты на счет;Обучение;1;0.17;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001266;Поступление зарплаты на счет;Ремонт;0;0.23;женский;1;0;высшее;специалист;>250;0;47;33;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001286;2НДФЛ;Покупка недвижимости/ строительство;0;0.16;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;15;50;Другое;Государственное предприятие;женат / замужем;1;0;0;0;0;0;1;0;0;0;0;0;1;13;1;0;0;76;76;0;0;0;0;0;0;0
1001306;Свободная форма с печатью работодателя;Ремонт;1;0.49;мужской;0;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001326;Поступление зарплаты на счет;Ремонт;0;0.56;женский;0;0;высшее;специалист;>250;1;67;26;Информационные технологии;ЗАО;холост / не замужем;2;2;2;0;0;0;0;0;0;0;0.2;1;4;52;5;1;1;7;43;0;0;0;0;0;0;0
1001346;Свободная форма с печатью работодателя;Ремонт;0;0.46;мужской;0;0;высшее;рабочий;< 50;1;14;30;Торговля;Индивидуальный предприниматель;холост / не замужем;1;1;1;1;1;0.0416666667;0;0;0;0;1;4;0;69;4;1;0;15;65;1;0;0;0;0;0;0
1001366;Поступление зарплаты на счет;Ремонт;0;0.31;мужской;3;3;высшее;специалист;>250;0;32;38;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001386;2НДФЛ;Ремонт;1;0.2;мужской;0;0;среднее-специальное;рабочий;>250;3;339;56;Другое;ЗАО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
1001406;Поступление зарплаты на счет;Ремонт;1;0.23;мужской;0;0;незаконченное высшее;торговый представитель;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001426;Поступление зарплаты на счет;Ремонт;1;0.05;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>250;0;18;41;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001446;2НДФЛ;Ремонт;0;0.21;мужской;0;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001466;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.52;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;20;41;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.6666666667;2;1;81;3;1;0;38;83;0;0;0;0;0;0;0
1001486;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.59;мужской;1;0;среднее-специальное;специалист;>250;0;147;33;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001506;Поступление зарплаты на счет;Ремонт;0;0.37;женский;0;0;высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001526;;Ремонт;0;;женский;0;0;второе высшее;другое;;1;15;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001546;Поступление зарплаты на счет;Ремонт;0;0.43;мужской;0;0;высшее;вспомогательный персонал;>250;0;19;23;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0153846154;0;0;0;0;0.4;2;3;64;5;1;0;11;33;1;0;0;0;0;0;0
1001566;2НДФЛ;Покупка недвижимости/ строительство;1;0.28;женский;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001586;Свободная форма с печатью работодателя;Ремонт;1;0.28;мужской;1;0;среднее-специальное;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001606;Форма банка (без печати работодателя);Обучение;1;0.29;женский;0;0;второе высшее;специалист;>250;0;35;44;Другое;ООО;холост / не замужем;1;1;1;0;0;0.0852713178;0;0;0;0;0.2222222222;2;7;118;9;1;2;8;66;1;1;0;0;0;0;0
1001626;Форма банка (без печати работодателя);Покупка автомобиля;1;0.57;мужской;0;0;высшее;торговый представитель;>250;0;54;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001646;Поступление зарплаты на счет;Покупка бытовой техники;1;0.47;мужской;0;0;второе высшее;рабочий;>250;1;27;28;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;1;1;1;0.3333333333;2;4;65;6;0;2;1;27;0;0;0;0;0;0;0
1001666;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.39;мужской;0;0;высшее;менеджер среднего звена;>250;1;8;27;Торговля;ООО;женат / замужем;7;7;7;7;7;;;;;;;;;;;;;;;;;;;;;
1001686;Форма банка (без печати работодателя);Ремонт;0;0.46;мужской;0;0;высшее;менеджер среднего звена;< 50;0;100;31;Туризм;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001706;2НДФЛ;Ремонт;0;0.38;мужской;0;0;среднее;рабочий;>250;0;10;25;Торговля;ОАО;женат / замужем;2;1;1;1;1;0.1216216216;0;0;0;0;0.1428571429;1;6;65;7;0;1;12;80;1;1;1;1;0;0;0
1001726;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;23;28;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001746;2НДФЛ;Покупка автомобиля;0;0.47;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;45;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1001766;Свободная форма с печатью работодателя;Покупка мебели;0;0.45;мужской;1;0;незаконченное высшее;менеджер среднего звена;< 50;0;53;44;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.4444444444;4;5;111;9;2;0;9;95;0;0;0;0;0;0;0
